Kode Provinsi,Provinsi,TIK_persen,ILK_persen,SMA_persen,Koperasi_unit,Anggota_org,TIK_standard,ILK_standard,SMA_standard,Koperasi_standard,Anggota_standard,Tahun
AC,Nanggroe Aceh Darussalam,23.31,32.7,74.46,3973,45972,-0.76,0.664,1.332,-0.08,-0.584,2016
BA,Bali,41.78,37.5,73.65,4463,197143,1.154,1.586,1.257,0.003,-0.292,2016
BB,Bangka Belitung,28.7,29.5,53.84,726,37491,-0.202,0.05,-0.558,-0.628,-0.601,2016
BE,Bengkulu,26.34,27.6,64.31,1871,33490,-0.446,-0.315,0.401,-0.435,-0.608,2016
BT,Banten,37.01,38.2,60.83,5436,401472,0.66,1.72,0.082,0.167,0.103,2016
GO,Gorontalo,27.3,23.3,50.79,932,9177,-0.347,-1.141,-0.838,-0.593,-0.655,2016
JA,Jambi,27.03,26.9,60.5,2484,35142,-0.375,-0.449,0.052,-0.331,-0.605,2016
JB,Jawa Barat,34.84,33,55.03,16963,999672,0.435,0.722,-0.449,2.113,1.259,2016
JI,Jawa Timur,29.59,35.6,55.13,27683,1110296,-0.11,1.221,-0.44,3.923,1.473,2016
JK,DKI Jakarta,58.4,40,74.74,5047,1871469,2.877,2.066,1.357,0.101,2.943,2016
JT,Jawa Tengah,29.89,33.5,44.59,21667,1811913,-0.078,0.818,-1.406,2.907,2.828,2016
KB,Kalimantan Barat,24.66,30.5,35.69,3012,680536,-0.621,0.242,-2.222,-0.242,0.642,2016
KI,Kalimantan Timur,46.11,30.5,66.76,3632,106776,1.603,0.242,0.626,-0.137,-0.467,2016
KR,Kepulauan Riau,50.1,37.1,75.93,1196,25131,2.016,1.509,1.466,-0.549,-0.625,2016
KS,Kalimantan Selatan,32.61,23.3,52.91,1729,136173,0.203,-1.141,-0.644,-0.459,-0.41,2016
KT,Kalimantan Tengah,28.52,26.2,52.42,2660,31262,-0.22,-0.584,-0.688,-0.302,-0.613,2016
KU,Kalimantan Utara,38.5,26.5,58.6,431,4849,0.814,-0.526,-0.122,-0.678,-0.664,2016
LA,Lampung,20.87,26.9,47.62,3008,812792,-1.013,-0.449,-1.128,-0.243,0.898,2016
MA,Maluku,27.55,26.2,72.87,2690,5925,-0.321,-0.584,1.186,-0.296,-0.662,2016
MU,Maluku Utara,19.21,27.3,64.87,2152,16482,-1.185,-0.373,0.453,-0.387,-0.641,2016
NB,Nusa Tenggara Barat,23.71,21.5,55.01,3131,209037,-0.719,-1.486,-0.451,-0.222,-0.269,2016
NT,Nusa Tenggara Timur,18.92,28,48.95,2241,267214,-1.216,-0.238,-1.007,-0.372,-0.157,2016
PA,Papua,15,22.2,35.69,777,5310,-1.622,-1.352,-2.222,-0.619,-0.663,2016
PB,Papua Barat,26.08,19.3,56.12,770,110,-0.473,-1.909,-0.349,-0.621,-0.673,2016
RI,Riau,32.33,29.5,62.12,2675,224905,0.174,0.05,0.201,-0.299,-0.238,2016
SA,Sulawesi Utara,37.2,28.7,72.33,3576,18839,0.679,-0.104,1.136,-0.147,-0.637,2016
SB,Sumatera Barat,32.53,27.3,64.97,2891,172058,0.195,-0.373,0.462,-0.263,-0.341,2016
SG,Sulawesi Tenggara,28.27,26.5,67.12,3340,9965,-0.246,-0.526,0.659,-0.187,-0.654,2016
SN,Sulawesi Selatan,31.37,28.4,59.56,6181,168964,0.075,-0.161,-0.034,0.293,-0.347,2016
SR,Sulawesi Barat,20.86,26.9,53.45,808,11732,-1.014,-0.449,-0.594,-0.614,-0.65,2016
SS,Sumatera Selatan,25.2,31.3,55.37,3820,80808,-0.565,0.395,-0.418,-0.106,-0.517,2016
ST,Sulawesi Tengah,22.99,22.5,61.79,1402,1280862,-0.794,-1.294,0.17,-0.514,1.802,2016
SU,Sumatera Utara,25.99,31.3,69.69,5977,818698,-0.483,0.395,0.894,0.258,0.909,2016
